person_a,person_b,ok,byte_errors
David_Trimble,Clara_Harris,0,32
Rubens_Barrichello,Marcelo_Rios,0,32
Trent_Lott,Kim_Clijsters,0,32
Princess_Caroline,Steven_Spielberg,0,32
Mark_Philippoussis,Jennifer_Lopez,0,32
Hugo_Chavez,Claudia_Pechstein,0,31
Jesse_Jackson,Grant_Hackett,0,32
Alastair_Campbell,Richard_Gere,0,31
Ai_Sugiyama,Ariel_Sharon,0,32
Martin_McGuinness,Clint_Eastwood,0,32
Tim_Robbins,Catherine_Deneuve,0,32
Tariq_Aziz,Yashwant_Sinha,0,32
Xanana_Gusmao,Richard_Virenque,0,32
Hamid_Karzai,Juan_Carlos_Ferrero,0,31
Marco_Antonio_Barrera,Xanana_Gusmao,0,32
Norah_Jones,David_Nalbandian,0,32
Steffi_Graf,Jack_Straw,0,31
Mark_Philippoussis,Sheryl_Crow,0,32
Rob_Marshall,Lleyton_Hewitt,0,32
Kim_Dae-jung,David_Anderson,0,32
George_Lopez,Oscar_De_La_Hoya,0,32
Jennifer_Capriati,Ashanti,0,32
George_Clooney,Larry_Brown,0,32
Mahathir_Mohamad,Jan_Ullrich,0,32
Lance_Bass,Russell_Simmons,0,31
Bill_Frist,Joe_Lieberman,0,32
Hu_Jintao,Harrison_Ford,0,32
Scott_McClellan,Binyamin_Ben-Eliezer,0,31
Gwyneth_Paltrow,John_Ashcroft,0,32
Robert_Zoellick,Kim_Dae-jung,0,32
Boris_Becker,Grant_Hackett,0,32
Ron_Dittemore,Paradorn_Srichaphan,0,32
Jennifer_Aniston,Robert_Blake,0,31
Antonio_Banderas,Sophia_Loren,0,32
Rudolph_Giuliani,Hugo_Chavez,0,32
Alan_Greenspan,William_Ford_Jr,0,32
Sergei_Ivanov,Amelia_Vega,0,32
Oswaldo_Paya,Jeong_Se-hyun,0,32
Norm_Coleman,Carrie-Anne_Moss,0,32
Mariah_Carey,Vladimir_Putin,0,32
Russell_Simmons,Hillary_Clinton,0,32
Elsa_Zylberstein,Jon_Gruden,0,32
George_Clooney,Scott_Peterson,0,32
Hosni_Mubarak,Jon_Gruden,0,32
Junichiro_Koizumi,Hugo_Chavez,0,31
Lindsay_Davenport,Rudolph_Giuliani,0,32
Kamal_Kharrazi,Vincent_Brooks,0,32
Michael_Schumacher,Kevin_Spacey,0,32
Vanessa_Redgrave,Mahmoud_Abbas,0,32
Victoria_Clarke,John_McCain,0,30
Carlos_Moya,Gregg_Popovich,0,30
Mark_Hurlbert,Scott_McClellan,0,32
Fernando_Henrique_Cardoso,Keanu_Reeves,0,32
Geoff_Hoon,Michael_Schumacher,0,32
Ali_Naimi,Emma_Watson,0,31
Luis_Gonzalez_Macchi,James_Kelly,0,32
Gray_Davis,Bob_Stoops,0,32
Tommy_Franks,Carmen_Electra,0,32
Arminio_Fraga,Rubens_Barrichello,0,32
Ron_Dittemore,Yao_Ming,0,32
Denzel_Washington,Heidi_Klum,0,32
Ana_Guevara,Goldie_Hawn,0,31
Jean_Chretien,Ricardo_Lagos,0,32
Hal_Gehman,Erika_Harold,0,32
Bertie_Ahern,Jiang_Zemin,0,32
Shimon_Peres,Prince_Charles,0,32
James_Blake,Roh_Moo-hyun,0,32
Mark_Hurlbert,Michael_Bloomberg,0,32
Ricardo_Lagos,Thomas_OBrien,0,32
Lucy_Liu,Kevin_Costner,0,32
Brad_Johnson,Ralf_Schumacher,0,32
Michael_Bloomberg,Holly_Hunter,0,31
Jim_Furyk,Hal_Gehman,0,32
Angela_Merkel,Clay_Aiken,0,32
Pedro_Malan,Calista_Flockhart,0,32
Robert_Kocharian,Denzel_Washington,0,32
Guillermo_Coria,Jackie_Chan,0,32
Adrien_Brody,Jon_Gruden,0,32
George_Robertson,Carmen_Electra,0,32
Elsa_Zylberstein,Matthew_Perry,0,32
Kristanna_Loken,Robert_Redford,0,32
Sophia_Loren,Mike_Myers,0,32
Justin_Timberlake,Lleyton_Hewitt,0,32
Romano_Prodi,David_Nalbandian,0,32
Colin_Montgomerie,Pete_Sampras,0,32
Walter_Mondale,Xanana_Gusmao,0,32
David_Nalbandian,Trent_Lott,0,31
Steven_Spielberg,Anna_Kournikova,0,32
Heizo_Takenaka,Li_Zhaoxing,0,32
Nick_Nolte,Ariel_Sharon,0,32
Erika_Harold,Carmen_Electra,0,32
Mark_Philippoussis,Jeremy_Greenstock,0,32
Jimmy_Carter,Carmen_Electra,0,32
Paul_Martin,Ciro_Gomes,0,32
Queen_Rania,James_Wolfensohn,0,32
Mohammad_Khatami,Diana_Krall,0,32
Hosni_Mubarak,Justine_Pasek,0,32
Robert_Zoellick,Amelie_Mauresmo,0,32
Enrique_Bolanos,Tommy_Thompson,0,32
Alejandro_Toledo,Pete_Sampras,0,32
Edmund_Stoiber,Christine_Baumgartner,0,32
Roger_Federer,Clara_Harris,0,31
Jean-David_Levitte,Naomi_Watts,0,32
JK_Rowling,Yasser_Arafat,0,32
Jake_Gyllenhaal,Kurt_Warner,0,32
Jose_Manuel_Durao_Barroso,Tim_Henman,0,32
Peter_Struck,Mohammad_Khatami,0,32
Gwyneth_Paltrow,Amelia_Vega,0,31
Oswaldo_Paya,Woody_Allen,0,32
Yasser_Arafat,Jose_Maria_Aznar,0,31
Roman_Polanski,Sergey_Lavrov,0,32
Jacques_Rogge,Amelia_Vega,0,32
George_Pataki,Justin_Timberlake,0,32
Zhu_Rongji,Tommy_Thompson,0,31
George_Pataki,Anna_Kournikova,0,32
Tung_Chee-hwa,Walter_Mondale,0,32
Bill_Simon,Tommy_Thompson,0,32
Bob_Stoops,Harrison_Ford,0,32
Elizabeth_Smart,Yoko_Ono,0,32
Jose_Maria_Aznar,Benjamin_Netanyahu,0,32
John_Abizaid,Pierce_Brosnan,0,32
James_Kelly,Catherine_Zeta-Jones,0,32
Hugo_Chavez,Steve_Lavin,0,31
William_Macy,Leonid_Kuchma,0,32
Boris_Becker,Jose_Manuel_Durao_Barroso,0,32
Heizo_Takenaka,Sean_OKeefe,0,31
Maria_Soledad_Alvear_Valenzuela,Michael_Schumacher,0,32
David_Nalbandian,Scott_Peterson,0,32
Paradorn_Srichaphan,Tim_Robbins,0,32
Jeong_Se-hyun,John_Kerry,0,32
Elizabeth_Hurley,Tommy_Franks,0,32
Lucio_Gutierrez,Jean_Chretien,0,32
Wayne_Ferreira,Leonid_Kuchma,0,32
David_Beckham,John_Negroponte,0,32
John_Snow,Jason_Kidd,0,32
Tariq_Aziz,Hal_Gehman,0,32
Scott_Peterson,Clara_Harris,0,32
Tony_Stewart,Mike_Martz,0,32
Gil_de_Ferran,Jack_Straw,0,32
George_Robertson,Laura_Bush,0,32
Erika_Harold,Julianne_Moore,0,32
Julianne_Moore,George_Pataki,0,32
Charles_Taylor,Ralf_Schumacher,0,32
Andy_Roddick,Robert_Redford,0,32
Eduard_Shevardnadze,Ben_Affleck,0,32
Wayne_Ferreira,Jim_Furyk,0,32
Gonzalo_Sanchez_de_Lozada,Jeremy_Greenstock,0,32
Billy_Crystal,Allyson_Felix,0,31
Jan_Ullrich,John_McCain,0,32
Charles_Moose,Wen_Jiabao,0,32
Donald_Rumsfeld,Michelle_Yeoh,0,32
Tim_Henman,Sergey_Lavrov,0,32
Valentino_Rossi,Taha_Yassin_Ramadan,0,32
Charles_Taylor,Holly_Hunter,0,32
Natalie_Maines,Robert_Redford,0,32
Hans_Blix,Dennis_Kucinich,0,32
Recep_Tayyip_Erdogan,Ludivine_Sagnier,0,32
Denzel_Washington,Guillermo_Coria,0,32
Serena_Williams,Kevin_Spacey,0,31
George_Pataki,Jonathan_Edwards,0,32
Martha_Stewart,Jan_Ullrich,0,32
Junichiro_Koizumi,Leonid_Kuchma,0,32
Donald_Rumsfeld,Roy_Moore,0,32
Joe_Lieberman,Chanda_Rubin,0,32
Muhammad_Saeed_al-Sahhaf,Kalpana_Chawla,0,32
Martin_McGuinness,Mike_Krzyzewski,0,32
Rick_Perry,Angela_Merkel,0,31
Ashanti,Kurt_Warner,0,32
Robert_Kocharian,John_Howard,0,31
Valentino_Rossi,Lance_Armstrong,0,32
John_Kerry,Mariah_Carey,0,32
Junichiro_Koizumi,Xanana_Gusmao,0,32
Matthew_Perry,Anna_Kournikova,0,32
Gonzalo_Sanchez_de_Lozada,William_Donaldson,0,32
Julianne_Moore,Mike_Martz,0,32
William_Macy,Calista_Flockhart,0,32
Venus_Williams,LeBron_James,0,32
Angela_Bassett,Kevin_Spacey,0,32
Marco_Antonio_Barrera,Joschka_Fischer,0,32
Mahmoud_Abbas,Harrison_Ford,0,32
Jean-Pierre_Raffarin,Fujio_Cho,0,32
Ahmed_Chalabi,Kate_Hudson,0,32
Leonid_Kuchma,Elizabeth_Hurley,0,31
Holly_Hunter,Nicole_Kidman,0,31
John_Manley,Muhammad_Ali,0,31
Silvio_Berlusconi,Frank_Solich,0,32
Justin_Timberlake,John_Howard,0,32
Michelle_Yeoh,Roman_Polanski,0,32
Rubens_Barrichello,Binyamin_Ben-Eliezer,0,32
John_Ashcroft,Princess_Caroline,0,32
David_Anderson,Maria_Shriver,0,32
Cameron_Diaz,Alvaro_Uribe,0,32
Yasser_Arafat,Spencer_Abraham,0,32
Michael_Phelps,Xanana_Gusmao,0,32
Alejandro_Toledo,Kim_Clijsters,0,32
Hugo_Chavez,Victoria_Clarke,0,32
Kim_Ryong-sung,Diana_Krall,0,32
Roh_Moo-hyun,Sergio_Vieira_De_Mello,0,31
Kim_Dae-jung,John_Allen_Muhammad,0,32
Russell_Simmons,Albert_Costa,0,32
Monica_Seles,Joe_Lieberman,0,32
Arnold_Schwarzenegger,Grant_Hackett,0,32
Juan_Pablo_Montoya,Jake_Gyllenhaal,0,32
Cruz_Bustamante,David_Heymann,0,32
Saddam_Hussein,Oscar_De_La_Hoya,0,32
Bertie_Ahern,Celine_Dion,0,32
Xavier_Malisse,David_Trimble,0,32
Mike_Martz,George_Lopez,0,32
Scott_McClellan,Martina_McBride,0,32
Valery_Giscard_dEstaing,Hu_Jintao,0,32
Hu_Jintao,Jason_Kidd,0,32
Angelina_Jolie,Jean-Pierre_Raffarin,0,32
Vladimir_Putin,Eduardo_Duhalde,0,32
Jonathan_Edwards,Howard_Dean,0,32
Peter_Struck,Javier_Solana,0,32
Valentino_Rossi,Carrie-Anne_Moss,0,31
Mireya_Moscoso,Mariah_Carey,0,32
John_Edwards,Jennifer_Lopez,0,32
Lleyton_Hewitt,Tim_Robbins,0,32
Rick_Perry,Martina_McBride,0,32
Paradorn_Srichaphan,Victoria_Clarke,0,32
Tommy_Thompson,Pamela_Anderson,0,32
Arminio_Fraga,Mahmoud_Abbas,0,32
Jose_Maria_Aznar,Jan_Ullrich,0,32
Thaksin_Shinawatra,Arnoldo_Aleman,0,32
Jon_Gruden,Fidel_Castro,0,32
Vaclav_Havel,George_Robertson,0,31
Edmund_Stoiber,Queen_Rania,0,32
Tim_Henman,Paul_Wolfowitz,0,31
Robert_Blake,Emanuel_Ginobili,0,32
Igor_Ivanov,Pedro_Almodovar,0,32
John_Allen_Muhammad,Muhammad_Saeed_al-Sahhaf,0,32
Kofi_Annan,Luiz_Inacio_Lula_da_Silva,0,32
Jose_Manuel_Durao_Barroso,Ludivine_Sagnier,0,32
Hal_Gehman,Dick_Cheney,0,32
Benazir_Bhutto,Enrique_Bolanos,0,32
Valentino_Rossi,Habib_Rizieq,0,31
Tommy_Thompson,Edward_Lu,0,31
Hu_Jintao,Queen_Rania,0,32
Grant_Hackett,Jackie_Chan,0,32
Steve_Nash,Yasser_Arafat,0,32
Michael_Douglas,Rick_Perry,0,31
Bill_Frist,Hosni_Mubarak,0,32
Vanessa_Redgrave,Oscar_De_La_Hoya,0,32
Marcelo_Rios,John_Abizaid,0,32
Michael_Phelps,Norm_Coleman,0,32
Mohammed_Al-Douri,Julie_Gerberding,0,32
Albert_Costa,Sergio_Vieira_De_Mello,0,32
Queen_Rania,Edward_Lu,0,32
Hugh_Grant,Antonio_Palocci,0,32
Jacques_Chirac,Naomi_Watts,0,32
Carmen_Electra,Kim_Dae-jung,0,31
Bill_Clinton,Mariah_Carey,0,32
Madonna,Pamela_Anderson,0,31
Claudia_Pechstein,Natalie_Coughlin,0,32
Roger_Moore,Wayne_Ferreira,0,32
Yoko_Ono,Queen_Elizabeth_II,0,32
Jan_Ullrich,Steve_Lavin,0,32
Dennis_Kucinich,John_Howard,0,32
Mohammed_Al-Douri,Catherine_Zeta-Jones,0,32
Sarah_Hughes,Kofi_Annan,0,32
Roman_Polanski,Marco_Antonio_Barrera,0,32
Jimmy_Carter,Sourav_Ganguly,0,32
Steve_Nash,Meryl_Streep,0,32
Mike_Martz,Enrique_Bolanos,0,31
Choi_Sung-hong,John_Manley,0,32
Mireya_Moscoso,Michael_Chang,0,32
Vicente_Fernandez,Taha_Yassin_Ramadan,0,32
Ricardo_Lagos,Enrique_Bolanos,0,30
Julie_Gerberding,Amelia_Vega,0,31
Benazir_Bhutto,Tony_Blair,0,32
Alan_Greenspan,Jennifer_Aniston,0,32
Tariq_Aziz,Michael_Chiklis,0,32
Nia_Vardalos,Jeremy_Greenstock,0,32
Bill_Gates,Susan_Sarandon,0,32
Denzel_Washington,Charles_Moose,0,32
Alvaro_Uribe,Gloria_Macapagal_Arroyo,0,32
Li_Peng,Tommy_Haas,0,32
Tang_Jiaxuan,Maria_Soledad_Alvear_Valenzuela,0,31
Paradorn_Srichaphan,George_HW_Bush,0,32
Richard_Gere,Lance_Armstrong,0,31
Kamal_Kharrazi,Kim_Clijsters,0,32
Colin_Farrell,Richard_Gephardt,0,32
Mahathir_Mohamad,Robert_Duvall,0,32
Jeremy_Greenstock,Catherine_Zeta-Jones,0,32
John_Stockton,Scott_Peterson,0,32
William_Donaldson,Jason_Kidd,0,32
Yao_Ming,John_Manley,0,32
George_Pataki,Carmen_Electra,0,32
Mark_Philippoussis,Frank_Solich,0,32
Gordon_Brown,Meryl_Streep,0,32
Jose_Manuel_Durao_Barroso,Trent_Lott,0,32
Vaclav_Havel,Woody_Allen,0,32
Zinedine_Zidane,Thaksin_Shinawatra,0,32
Jose_Manuel_Durao_Barroso,Ali_Naimi,0,32
Leonardo_DiCaprio,Jose_Manuel_Durao_Barroso,0,32
Vanessa_Redgrave,Norah_Jones,0,32
Binyamin_Ben-Eliezer,Jean-Pierre_Raffarin,0,32
Gregg_Popovich,Mahathir_Mohamad,0,32
Michael_Powell,Juan_Pablo_Montoya,0,32
Laura_Bush,Jeremy_Greenstock,0,32
Condoleezza_Rice,Kurt_Warner,0,32
Natalie_Maines,Vicente_Fernandez,0,32
Abdullah_Gul,Hosni_Mubarak,0,32
Marco_Antonio_Barrera,Sergio_Vieira_De_Mello,0,32
Woody_Allen,Kevin_Spacey,0,32
Justine_Pasek,John_Stockton,0,32
Grant_Hackett,Michael_Chiklis,0,32
Clay_Aiken,Mireya_Moscoso,0,32
Robert_Kocharian,Mohammed_Al-Douri,0,32
James_Wolfensohn,Renee_Zellweger,0,32
Maria_Soledad_Alvear_Valenzuela,Thaksin_Shinawatra,0,32
Sergio_Vieira_De_Mello,Pervez_Musharraf,0,32
Jennifer_Aniston,Junichiro_Koizumi,0,32
Tom_Crean,Monica_Seles,0,32
Ahmed_Chalabi,Susan_Sarandon,0,32
Jeremy_Greenstock,Tony_Blair,0,32
Alan_Greenspan,Steffi_Graf,0,32
Dennis_Hastert,Costas_Simitis,0,32
Trent_Lott,Costas_Simitis,0,32
Lucio_Gutierrez,Arnoldo_Aleman,0,32
Hillary_Clinton,Elizabeth_Smart,0,32
Laura_Bush,Victoria_Clarke,0,32
Ray_Romano,Laura_Bush,0,32
Bill_Graham,Vanessa_Redgrave,0,31
Roy_Moore,Carlos_Menem,0,32
Shimon_Peres,Ann_Veneman,0,32
Martin_Scorsese,Andy_Roddick,0,32
Valery_Giscard_dEstaing,Gregg_Popovich,0,30
Costas_Simitis,Kevin_Spacey,0,32
Elton_John,Leonardo_DiCaprio,0,32
Heizo_Takenaka,Jelena_Dokic,0,31
Bill_Graham,Dick_Cheney,0,31
David_Trimble,Queen_Rania,0,32
Mahathir_Mohamad,Jack_Straw,0,32
Catherine_Deneuve,Hal_Gehman,0,31
Vicente_Fox,Jiri_Novak,0,32
Mick_Jagger,Tom_Crean,0,32
David_Heymann,Mike_Weir,0,31
Dennis_Hastert,Elizabeth_Smart,0,32
Nick_Nolte,Angelina_Jolie,0,32
Ashanti,William_Donaldson,0,32
Jean_Charest,Choi_Sung-hong,0,32
JK_Rowling,Gwyneth_Paltrow,0,32
Nestor_Kirchner,Halle_Berry,0,32
Robert_Blake,Muhammad_Saeed_al-Sahhaf,0,31
Colin_Powell,Alvaro_Uribe,0,32
Silvio_Berlusconi,Kevin_Costner,0,32
Chanda_Rubin,Yoko_Ono,0,32
Ali_Naimi,Hosni_Mubarak,0,32
Eduard_Shevardnadze,Antonio_Banderas,0,32
Michael_Bloomberg,Xavier_Malisse,0,31
John_Travolta,Luis_Gonzalez_Macchi,0,32
John_McCain,Elton_John,0,32
Silvio_Berlusconi,Halle_Berry,0,32
Tung_Chee-hwa,Ray_Romano,0,32
Edward_Lu,Tom_Ridge,0,32
Chen_Shui-bian,Yao_Ming,0,32
Muhammad_Ali,Sergio_Vieira_De_Mello,0,32
Donald_Rumsfeld,Tang_Jiaxuan,0,32
Lleyton_Hewitt,Mohammad_Khatami,0,32
Carlos_Moya,Fernando_Henrique_Cardoso,0,32
Lucy_Liu,Gerhard_Schroeder,0,32
Sarah_Hughes,Jennifer_Capriati,0,32
Adrien_Brody,John_Bolton,0,32
Kamal_Kharrazi,Pierce_Brosnan,0,32
Joan_Laporta,Adrien_Brody,0,32
Sheryl_Crow,Robert_Duvall,0,32
Ana_Palacio,Vanessa_Redgrave,0,32
Emma_Watson,Sophia_Loren,0,31
Gloria_Macapagal_Arroyo,William_Donaldson,0,32
Michael_Schumacher,Renee_Zellweger,0,32
Geoff_Hoon,Wayne_Ferreira,0,32
Tim_Robbins,Geoff_Hoon,0,32
Habib_Rizieq,Charles_Moose,0,31
Ian_Thorpe,Grant_Hackett,0,32
Ralf_Schumacher,Vladimir_Putin,0,32
Jack_Straw,Cesar_Gaviria,0,32
Joan_Laporta,John_Kerry,0,32
David_Trimble,Joan_Laporta,0,32
Roy_Moore,Hugo_Chavez,0,32
Megawati_Sukarnoputri,Bill_Clinton,0,32
Princess_Caroline,Martha_Stewart,0,32
Chanda_Rubin,Antonio_Palocci,0,32
Michael_Chiklis,Nancy_Pelosi,0,32
Tommy_Franks,Juan_Carlos_Ferrero,0,32
Jean-Pierre_Raffarin,Frank_Solich,0,32
Jennifer_Lopez,Kim_Dae-jung,0,32
Cruz_Bustamante,Valentino_Rossi,0,32
Al_Sharpton,Martin_Scorsese,0,32
George_Lopez,Hans_Blix,0,32
Charles_Moose,Fernando_Henrique_Cardoso,0,32
Jean_Charest,Madonna,0,31
Ralf_Schumacher,William_Macy,0,32
Jelena_Dokic,Angelina_Jolie,0,32
Tim_Henman,Edmund_Stoiber,0,32
Vincent_Brooks,Charles_Taylor,0,32
Albert_Costa,Arnold_Schwarzenegger,0,32
Megawati_Sukarnoputri,Joan_Laporta,0,32
Holly_Hunter,Dennis_Kucinich,0,32
Li_Zhaoxing,Recep_Tayyip_Erdogan,0,32
Jennifer_Garner,Robert_Duvall,0,32
Ann_Veneman,Robert_Blake,0,32
Costas_Simitis,Joe_Lieberman,0,30
David_Anderson,Christine_Baumgartner,0,32
Benjamin_Netanyahu,Paul_ONeill,0,30
Keanu_Reeves,Gray_Davis,0,32
Alvaro_Uribe,Abdullah_Gul,0,32
Robert_Kocharian,Yashwant_Sinha,0,32
Edmund_Stoiber,Chanda_Rubin,0,32
Hal_Gehman,Mike_Myers,0,32
Justine_Pasek,Elizabeth_Hurley,0,32
John_Ashcroft,Roger_Federer,0,32
Sharon_Stone,Joseph_Biden,0,32
Kevin_Costner,David_Trimble,0,32
Carlos_Menem,Princess_Caroline,0,32
Ariel_Sharon,Juan_Carlos_Ferrero,0,32
Tommy_Thompson,David_Trimble,0,32
Richard_Armitage,Richard_Gephardt,0,32
Abdullah_Gul,Angelina_Jolie,0,32
Tim_Henman,Harrison_Ford,0,32
Joschka_Fischer,Vanessa_Redgrave,0,32
Jackie_Chan,Roger_Federer,0,32
Michael_Douglas,Eduard_Shevardnadze,0,32
Jason_Kidd,Michael_Schumacher,0,32
Ashanti,Billy_Crystal,0,32
Ralf_Schumacher,Gene_Robinson,0,32
Michael_Bloomberg,Tim_Henman,0,31
John_Manley,Bob_Stoops,0,32
Pervez_Musharraf,Yao_Ming,0,32
Lleyton_Hewitt,Trent_Lott,0,30
Jason_Kidd,Alan_Greenspan,0,32
Christine_Todd_Whitman,Susan_Sarandon,0,32
Mike_Martz,Heidi_Klum,0,31
Serena_Williams,Ian_Thorpe,0,32
Zhu_Rongji,Scott_Peterson,0,32
Jeremy_Greenstock,Elizabeth_Smart,0,32
Walter_Mondale,Robert_Mueller,0,32
Kofi_Annan,Martin_Scorsese,0,32
Amelie_Mauresmo,Tommy_Haas,0,31
Martin_Scorsese,Cruz_Bustamante,0,32
William_Ford_Jr,John_Allen_Muhammad,0,32
William_Donaldson,Joseph_Biden,0,32
Jean_Charest,Charles_Moose,0,32
Walter_Mondale,David_Trimble,0,32
Atal_Bihari_Vajpayee,Joe_Lieberman,0,32
Claudia_Pechstein,Salma_Hayek,0,31
Paradorn_Srichaphan,Jose_Maria_Aznar,0,32
Yao_Ming,Elsa_Zylberstein,0,32
George_HW_Bush,Igor_Ivanov,0,32
Martina_McBride,Jennifer_Garner,0,32
Robert_Redford,Steven_Spielberg,0,30
Naomi_Watts,Paul_Bremer,0,32
Ai_Sugiyama,Jean-David_Levitte,0,32
John_Kerry,Ben_Affleck,0,32
Marco_Antonio_Barrera,Anna_Kournikova,0,32
Chanda_Rubin,Gerhard_Schroeder,0,32
George_HW_Bush,Alejandro_Toledo,0,32
Norm_Coleman,John_Bolton,0,32
Steve_Lavin,Carlos_Menem,0,31
